estacion,fecha,rr,tmx,tmn,tmd,hf,vv,RS
M0001,2016-01-09,0,17.1,7.3,11.9,3.18,6.3,-9999
M0001,2016-01-10,2,18,8.8,12.2,6.96,12.83,-9999
M0001,2016-01-11,16.5,17.4,7,12,4.45,15.37,-9999
M0001,2016-01-12,0.1,15.6,7.5,11.3,7.87,5.22,-9999
M0001,2016-01-13,3,17.9,8,11.7,2.19,15.39,-9999
M0001,2016-01-14,0,19.1,7.2,13.7,8.21,8.86,-9999
M0001,2016-01-15,0,19.6,8.9,13.2,10.63,3.69,-9999
M0001,2016-01-16,0,17.9,8.6,13,7.95,6.54,-9999
M0001,2016-01-17,3.2,11.2,9,10,8.26,5.04,-9999
M0001,2016-01-18,7,17.9,7.1,12.3,6.67,12.38,-9999
M0001,2016-01-19,3,18.6,8.6,13.1,5.02,9.5,-9999
M0001,2016-01-20,0.2,17.7,6.9,12.7,3.01,7.08,-9999
M0001,2016-01-21,4.1,16.8,6,11.6,3.83,2.7,-9999
M0001,2016-01-22,1.7,15,8.6,10.1,4.87,6.68,-9999
M0001,2016-01-23,7.7,17.6,8,12,1.72,8.97,-9999
M0001,2016-01-24,2.8,18.7,6,12,2.03,5.73,-9999
M0001,2016-01-25,0,18.8,8.6,11.9,2,1.24,-9999
M0001,2016-01-26,0,17.3,6.3,11.1,6.99,4.95,-9999
M0001,2016-01-27,0,15.4,7.6,10.4,7.62,12.95,-9999
M0001,2016-01-28,0,17,7.4,11.8,1.03,1.59,-9999
M0001,2016-01-29,0,16.3,8.1,11.4,10.58,3.16,-9999
M0001,2016-01-30,0,15.8,8,11.3,5.55,15.28,-9999
M0001,2016-01-31,0,13.5,8.4,10.6,5.98,9.71,-9999
M0001,2016-02-01,0,14,8.8,11.2,3.5,15.99,-9999
M0001,2016-02-02,0,15.5,8.6,10.8,4.59,2.94,-9999
M0001,2016-02-03,3.3,16.3,8.1,11.1,3.35,13.17,-9999
M0001,2016-02-04,0,17.3,8.5,11.8,8.82,5.93,-9999
M0001,2016-02-05,0,18.3,7.6,12.6,3.43,9.89,-9999
M0001,2016-02-06,0,14.8,9.1,11.3,6.07,9.24,-9999
M0001,2016-02-07,0,17.4,8.4,11.6,7.67,5.78,-9999
M0001,2016-02-08,0,14.9,7.8,10.8,5.56,2.49,-9999
M0001,2016-02-09,0,17.6,8.6,12.1,6.67,12.3,-9999
M0001,2016-02-10,0,17.8,8.7,12.4,5.3,4.96,-9999
M0001,2016-02-11,0,16.9,8.6,11.4,3.6,7.52,-9999
M0001,2016-02-12,0,17.7,8.2,13,5.64,10.17,-9999
M0001,2016-02-13,0,17.4,8.1,11.9,3.2,5.08,-9999
M0001,2016-02-14,0,17,8.9,12.1,8.59,10.51,-9999
M0001,2016-02-15,0,15.3,8.7,11.1,10.11,11.46,-9999
M0001,2016-02-16,0,16.5,7.8,11.9,10.33,7.25,-9999
M0001,2016-02-17,0,18,8.6,11.9,5.21,16.33,-9999
M0001,2016-02-18,0,18,8.3,12.7,8.23,3.76,-9999
M0001,2016-02-19,0,16.9,8.9,12.2,7.11,12.66,-9999
M0001,2016-02-20,0,17.5,9.5,12.5,10.1,10.6,-9999
M0001,2016-02-21,32.7,15.9,8.9,11.1,10.71,8.27,-9999
M0001,2016-02-22,15.3,15.8,8.6,11.7,2.14,9.24,-9999
M0001,2016-02-23,7.2,13.6,9.2,10.6,1.99,13.85,-9999
M0001,2016-02-24,1.2,15.3,9.6,10.8,5.9,4.46,-9999
M0001,2016-02-25,0.1,16.7,9.2,12.1,9.76,16.02,-9999
M0001,2016-02-26,0,15.7,8.8,11,1.7,2.32,-9999
M0001,2016-02-27,0.4,11.2,8.5,9.6,9.85,3.26,-9999
M0001,2016-02-28,0.4,16.3,7.2,11.4,1.84,10.3,-9999
M0001,2016-02-29,0,17.2,8.7,12.6,10.56,6.88,-9999
M0001,2016-03-01,0.4,15.8,7.9,11.9,7.75,5.59,-9999
M0001,2016-03-02,0,16.7,8.5,12.6,7.36,14.1,-9999
M0001,2016-03-03,0,14.6,7.9,10.3,4.1,12.69,-9999
M0001,2016-03-04,0.4,15.2,8.9,10.9,5.64,1.88,-9999
M0001,2016-03-05,8,15.4,9.6,12.3,9.39,11.23,-9999
M0001,2016-03-06,0,17.5,8.8,12.1,2.04,10.4,-9999
M0001,2016-03-07,0,16.2,8.5,11.2,4.69,10.33,-9999
M0001,2016-03-08,0,15.1,9.4,11.9,5.29,3.19,-9999
M0001,2016-03-09,0,16.3,8.9,11.7,8.68,9.97,-9999
M0001,2016-03-10,0.2,16.7,9,11.6,4.07,9.96,-9999
M0001,2016-03-11,0,15.5,9.4,11.8,7.02,9.87,-9999
M0001,2016-03-12,0,15.8,8.9,11.2,10.14,5.78,-9999
M0001,2016-03-13,0,14.8,6.8,11.1,7.05,13.9,-9999
M0001,2016-03-14,24,12.3,6.2,10.2,3.05,7.35,-9999
M0001,2016-03-15,12.1,15.1,6.4,11.2,4.27,15.31,-9999
M0001,2016-03-16,0.4,16.7,7.8,11.7,5.28,10.64,-9999
M0001,2016-03-17,0.4,15.2,8.7,11.6,1.78,7.89,-9999
M0001,2016-03-18,10.4,17.4,7.9,11.7,2.55,15.56,-9999
M0001,2016-03-19,2.1,16.8,8.5,12.4,9.95,9.92,-9999
M0001,2016-03-20,33,17.6,9,13.2,5.09,13.93,-9999
M0001,2016-03-21,5.3,16.6,9.4,12.1,9.17,9.3,-9999
M0001,2016-03-22,0,14.9,8.8,10.6,1.23,6.21,-9999
M0001,2016-03-23,1.6,14,7.8,9.9,4.01,8.83,-9999
M0001,2016-03-24,0,14,7.5,10.4,1.29,7.2,-9999
M0001,2016-03-25,0.2,13.6,8.4,10.8,10.68,7.74,-9999
M0001,2016-03-26,0,16.7,8.6,11.9,7.54,14.11,-9999
M0001,2016-03-27,0,18.2,8,12.5,7.83,15.01,-9999
M0001,2016-03-28,0,17.8,9.2,12.7,4.81,3.59,-9999
M0001,2016-03-29,1.5,16.2,9.6,12.1,5.59,16.5,-9999
M0001,2016-03-30,0,16.8,8.2,11.6,6.36,3.64,-9999
M0001,2016-03-31,0,16.7,9.2,12.1,1.14,3,-9999
M0001,2016-04-01,4.3,14.2,9,10.4,1.61,10.05,-9999
M0001,2016-04-02,0,13.6,8.4,10.4,9.09,11.99,-9999
M0001,2016-04-03,0,15.8,8.7,11.3,7.26,1.51,-9999
M0001,2016-04-04,0,18.2,7,12,9.66,16.38,-9999
M0001,2016-04-05,0,17.9,9,12.7,6.07,11.6,-9999
M0001,2016-04-06,0,16.3,6.4,11.2,1.14,13.73,-9999
M0001,2016-04-07,5.4,16.7,9.6,11.7,4.96,6.07,-9999
M0001,2016-04-08,0.1,16.7,7.3,11.2,7.61,8.55,-9999
M0001,2016-04-09,0,17.1,7,11.6,10.41,9.58,-9999
M0001,2016-04-10,0,17.3,7.6,12.1,8.59,8.23,-9999
M0001,2016-04-11,0,17.4,8.8,12.2,2.55,2.22,-9999
M0001,2016-04-12,0.5,17,7.9,11.7,1.85,5.12,-9999
M0001,2016-04-13,0,17.4,8.6,12.1,9.43,2.68,-9999
M0001,2016-04-14,0,15.9,7.9,11.3,5.37,15.92,-9999
M0001,2016-04-15,0.3,18.1,8.2,12.2,9.52,13.74,-9999
M0001,2016-04-16,0,17.5,9.1,12.2,4.27,10.95,-9999
M0001,2016-04-17,0,16.6,8,11.4,7.44,16.02,-9999
M0001,2016-04-18,0.3,18.4,8.9,11.2,5.43,9.73,-9999
M0001,2016-04-19,0.4,17.4,8.6,11.8,2.13,16.04,-9999
M0001,2016-04-20,0,13.3,8.8,10.6,5.71,10.44,-9999
M0001,2016-04-21,0.1,16.6,8.8,11.3,3.49,10.76,-9999
M0001,2016-04-22,3.4,17.3,7.8,12.1,1.2,5.98,-9999
M0001,2016-04-23,0.4,17.4,8.6,11.4,10.94,7.69,-9999
M0001,2016-04-24,0,15.3,8,11.3,10.24,9.44,-9999
M0001,2016-04-25,0,16.9,8.7,12.1,10.12,12.16,-9999
M0001,2016-04-26,0,16.9,8,12.1,3.52,9.92,-9999
M0001,2016-04-27,0,15.6,8.6,10.8,6.51,6.58,-9999
M0001,2016-04-28,0,16.7,7.6,12,2.88,12.61,-9999
M0001,2016-04-29,0.9,15.6,8.7,11,8.63,7.9,-9999
M0001,2016-04-30,0,15.3,8,11.7,7.49,3.05,-9999
M0001,2016-05-01,0,15.7,8.9,11.5,8.17,5.37,-9999
M0001,2016-05-02,0,16.8,8.1,12,7.91,10.82,-9999
M0001,2016-05-03,0.3,15.3,6.6,11.7,10.31,11.04,-9999
M0001,2016-05-04,0.1,16.4,8.3,11.5,2.38,5.99,-9999
M0001,2016-05-05,0.9,17.1,8.8,12.2,7.91,13.89,-9999
M0001,2016-05-06,0.6,16.4,9.3,11.7,6.92,7.88,-9999
M0001,2016-05-07,1.1,14.1,7.6,10.5,2.34,15.48,-9999
M0001,2016-05-08,3.4,14.7,8.4,11.2,5.65,10.04,-9999
M0001,2016-05-09,0.7,15.9,7.2,11.2,1.01,2.08,-9999
M0001,2016-05-10,0,17.1,8.3,11.7,6.88,14.59,-9999
M0001,2016-05-11,0,17,6.9,12.9,8.43,11.34,-9999
M0001,2016-05-12,0,16.1,7.5,11.8,5.99,4.86,-9999
M0001,2016-05-13,0,16.9,8.5,12.3,8.07,2.53,-9999
M0001,2016-05-14,0,17.1,8.4,12.2,5.67,13.69,-9999
M0001,2016-05-15,21.2,17.3,8.9,12.2,8.21,8.94,-9999
M0001,2016-05-16,0,17.4,8.7,12.3,7.41,2.11,-9999
M0001,2016-05-17,0,17.4,8.7,12.8,2.02,2.59,-9999
M0001,2016-05-18,0.9,14.9,7.2,10.9,6.81,3.52,-9999
M0001,2016-05-19,0,13.5,7.9,10.7,7.8,11.38,-9999
M0001,2016-05-20,0,18.7,8.2,12.9,2.14,0.92,-9999
M0001,2016-05-21,1,16.3,8,11,1.45,14.67,-9999
M0001,2016-05-22,0.6,13.5,8.9,10.3,4.44,15.41,-9999
M0001,2016-05-23,0,11.8,6.7,8.4,8.72,7.77,-9999
M0001,2016-05-24,1.3,16.4,6.6,10.4,9.86,8.38,-9999
M0001,2016-05-25,0,17.2,7.8,12.4,4.3,3.35,-9999
M0001,2016-05-26,0.8,13.1,8,10.1,9.71,7.23,-9999
M0001,2016-05-27,1.2,14.8,7.8,10.9,8.94,2,-9999
M0001,2016-05-28,0,13.9,6.5,9.7,9.34,12.64,-9999
M0001,2016-05-29,1,14.7,6.4,11.1,5.01,7.21,-9999
M0001,2016-05-30,0,15,6,10.5,2.47,16.47,-9999
M0001,2016-05-31,0,14.3,5.9,10,9.1,16.37,-9999
M0001,2016-06-01,0,15.7,7.7,10.9,6.4,6.1,-9999
M0001,2016-06-02,0,14.3,8.6,10.3,5.99,11.55,-9999
M0001,2016-06-03,7.2,15.4,6.8,10.7,4.19,2.59,-9999
M0001,2016-06-04,0.5,14.7,5.9,9.6,2.82,9.5,-9999
M0001,2016-06-05,2.6,14.6,6,10.8,10.56,4.93,-9999
M0001,2016-06-06,0,15,6.9,9.9,3.03,11.68,-9999
M0001,2016-06-07,0,15.1,7.1,11,3.72,16,-9999
M0001,2016-06-08,0.1,14.6,6.7,11,7.01,0.92,-9999
M0001,2016-06-09,0.3,14.9,7.8,9.6,1,13.14,-9999
M0001,2016-06-10,0.6,12,6.9,8.9,9.36,3.97,-9999
M0001,2016-06-11,0.1,14.5,6.8,10.2,1.61,10.54,-9999
M0001,2016-06-12,2.1,15,7,10.5,5.73,4.17,-9999
M0001,2016-06-13,0,14.1,6.7,10.4,10.5,2.53,-9999
M0001,2016-06-14,0,15,7.9,10.3,2.06,14.64,-9999
M0001,2016-06-15,0,15.4,7.7,11.2,10.71,4,-9999
M0001,2016-06-16,0,15.2,7.2,11.1,3.12,14.39,-9999
M0001,2016-06-17,0,15,8.2,11.5,6.37,1.16,-9999
M0001,2016-06-18,0,13.8,8,10.4,3.86,7.69,-9999
M0001,2016-06-19,0,13.7,7.2,10.3,6.03,3.58,-9999
M0001,2016-06-20,0,13.4,7,9.1,4.42,4.68,-9999
M0001,2016-06-21,0,13.7,7.8,10.1,4.97,15.3,-9999
M0001,2016-06-22,0,15.4,7.7,10.9,3.48,6.42,-9999
M0001,2016-06-23,0,16.6,7.6,11.6,7.67,8.93,-9999
M0001,2016-06-24,0,15.9,7.7,11.3,5.63,5.59,-9999
M0001,2016-06-25,0,16.1,7.7,11.3,3.8,1.81,-9999
M0001,2016-06-26,0,15.6,7.9,10.7,5.17,15.22,-9999
M0001,2016-06-27,0,16.3,8.2,11,9.86,2.49,-9999
M0001,2016-06-28,0,16.1,8.8,12,10.42,10.56,-9999
M0001,2016-06-29,0,15.8,7.1,11.5,4.9,7.45,-9999
M0001,2016-06-30,0,15.7,6.9,10.9,2.47,4.83,-9999
M0001,2016-07-01,0,14.3,6.4,10.3,9.53,13.94,-9999
M0001,2016-07-02,0,13.6,6.1,10,8.03,5.05,-9999
M0001,2016-07-03,0,13.4,7.1,9.8,5.01,6.23,-9999
M0001,2016-07-04,0,14.9,7,10.6,4.39,1.39,-9999
M0001,2016-07-05,0,16.3,6.7,12,4.43,5.73,-9999
M0001,2016-07-06,0,15.2,7.7,11,8.19,14.59,-9999
M0001,2016-07-07,0,13.9,7.6,10.2,3.73,5.71,-9999
M0001,2016-07-08,0.5,13.7,6.8,9.9,3.32,7.06,-9999
M0001,2016-07-09,0,13.7,7,10.4,1.25,9.38,-9999
M0001,2016-07-10,2.5,14.6,6.8,10.5,5.64,15.49,-9999
M0001,2016-07-11,0,15.2,6.5,10.6,8.83,10.7,-9999
M0001,2016-07-12,0,14.8,7,10.6,9.36,9.52,-9999
M0001,2016-07-13,0.2,15.9,6.6,11.8,5.13,7.31,-9999
M0001,2016-07-14,0,13.7,7.4,9.9,7.2,10.79,-9999
M0001,2016-07-15,0,16.1,6.5,11.2,10.92,2.07,-9999
M0001,2016-07-16,0,15,6.4,10.6,9.36,2.54,-9999
M0001,2016-07-17,0,14.1,6.2,10.8,5.51,8.45,-9999
M0001,2016-07-18,0,14.3,6,10,6.76,14.37,-9999
M0001,2016-07-19,1.2,14.8,6.7,10,10.34,5.82,-9999
M0001,2016-07-20,0.9,16.8,5.6,11.1,5.17,5.34,-9999
M0001,2016-07-21,1.1,14.9,6.2,10.2,3.31,12.79,-9999
M0001,2016-07-22,0,16,5.7,11.1,8.49,14.16,-9999
M0001,2016-07-23,0,15.6,7,11.1,10.09,8.78,-9999
M0001,2016-07-24,0,18,7.2,12.5,6.33,12.8,-9999
M0001,2016-07-25,11,18.8,8,12.9,4.89,3.46,-9999
M0001,2016-07-26,0.1,15.9,7.6,10.9,4.42,7.33,-9999
M0001,2016-07-27,7.5,17.2,7.2,11.6,10.4,13.84,-9999
M0001,2016-07-28,0,17.8,7,12.2,2.75,4.89,-9999
M0001,2016-07-29,0,17.5,7.2,12.5,9.19,12.84,-9999
M0001,2016-07-30,0,16.3,7.1,11.2,10.15,16.02,-9999
M0001,2016-07-31,0,16.8,5.8,11.6,9.19,5.24,-9999
M0001,2016-08-01,0,17.7,6.1,11.7,7.79,2.19,-9999
M0001,2016-08-02,0,17.4,6.3,11.7,9.3,1.48,-9999
M0001,2016-08-03,0,14,7.4,10.8,4.75,2.46,-9999
M0001,2016-08-04,0,15.9,7.6,10.6,6.76,1.23,-9999
M0001,2016-08-05,0,15.7,7,11.2,8.45,9.6,-9999
M0001,2016-08-06,0,16.7,8,11.9,5.67,12.38,-9999
M0001,2016-08-07,0,16.5,7,11,3.38,9.58,-9999
M0001,2016-08-08,0,17.5,6.4,11.8,8.28,7.57,-9999
M0001,2016-08-09,0,17.5,5.8,12,5.06,13.08,-9999
M0001,2016-08-10,0,14.7,8,11.7,2.99,6.14,-9999
M0001,2016-08-11,0,16.6,5.9,11.1,6.88,12.42,-9999
M0001,2016-08-12,0,17.4,5.6,11.9,8.38,11.69,-9999
M0001,2016-08-13,0,14.9,6.8,11,6.15,10.25,-9999
M0001,2016-08-14,0,16.6,6.8,11.5,5.41,9.93,-9999
M0001,2016-08-15,0,16.8,6.4,11.6,4.73,5.79,-9999
M0001,2016-08-16,0,18.2,8,13.4,2.43,15.43,-9999
M0001,2016-08-17,0,16.9,7.4,11.2,10.98,16.22,-9999
M0001,2016-08-18,0,13.2,7.8,10.2,5.4,8.35,-9999
M0001,2016-08-19,0,16.6,6.9,11.7,8.12,10.4,-9999
M0001,2016-08-20,0,18.3,6.7,12,2.34,7.56,-9999
M0001,2016-08-21,0,17.9,6.8,11.4,1.8,15.08,-9999
M0001,2016-08-22,0,17.4,7.8,11.6,6.71,7.18,-9999
M0001,2016-08-23,0,14,7.6,9.5,6.95,12.87,-9999
M0001,2016-08-24,0,13.6,6.7,10.3,7.19,1.08,-9999
M0001,2016-08-25,0,18.4,7.4,12.8,7.56,15.7,-9999
M0001,2016-08-26,0,17.9,6.1,12.3,5.84,5.77,-9999
M0001,2016-08-27,0,14.9,7.2,10.8,2.66,13.96,-9999
M0001,2016-08-28,0,14.2,7.7,10.3,8.23,6.09,-9999
M0001,2016-08-29,0,14.9,7.3,11,8.72,5.2,-9999
M0001,2016-08-30,0,15.7,6.4,10,4.21,12.32,-9999
M0001,2016-08-31,0,13.8,8.3,10.4,10.58,9.42,-9999
M0001,2016-09-01,0,15.8,8.1,10.3,3.82,3.86,-9999
M0001,2016-09-02,0,17.9,7.8,12.7,3.67,1.45,-9999
M0001,2016-09-03,0,16.6,7,12.1,9.28,11.17,-9999
M0001,2016-09-04,0,16.9,6.5,12.2,3.52,9.54,-9999
M0001,2016-09-05,0,16.3,7,11.4,2.57,15.94,-9999
M0001,2016-09-06,0,16.8,5.8,12.2,10.42,8.71,-9999
M0001,2016-09-07,0,17.1,7.3,12.2,1.83,13.79,-9999
M0001,2016-09-08,0,16.9,7.2,12.2,4.59,14.85,-9999
M0001,2016-09-09,4.7,14.7,7.3,10.6,7.77,4.25,-9999
M0001,2016-09-10,3.8,16.4,6.6,11.7,9.67,15.62,-9999
M0001,2016-09-11,1.4,16.4,6.7,11.1,7.98,11.14,-9999
M0001,2016-09-12,0,15.8,6.4,10.9,2,4.09,-9999
M0001,2016-09-13,0,12.3,6.8,8.8,10.33,4.71,-9999
M0001,2016-09-14,0.4,16.7,6.3,11.7,2.57,8.31,-9999
M0001,2016-09-15,0.1,13.7,7.8,10.4,7.38,4.3,-9999
M0001,2016-09-16,0,15.6,7.6,11.2,5.39,2.94,-9999
M0001,2016-09-17,0,15.5,7,11.7,5.52,9.77,-9999
M0001,2016-09-18,9.5,16.2,8.9,12.2,1.29,13.15,-9999
M0001,2016-09-19,7,17.3,7.3,11.4,6.15,1.47,-9999
M0001,2016-09-20,0,18.5,8.8,12.7,1.22,7.38,-9999
M0001,2016-09-21,0.7,14.3,8.4,10.9,3.65,7.5,-9999
M0001,2016-09-22,0,14.2,8.4,10.1,10.25,1.56,-9999
M0001,2016-09-23,0,17.2,7.6,10.4,5.85,2.25,-9999
M0001,2016-09-24,0,14.4,9.4,10.8,5.96,4.17,-9999
M0001,2016-09-25,0,15.1,9.2,11.1,9.81,2.71,-9999
M0001,2016-09-26,0,14.7,8,10.6,9.35,6.51,-9999
M0001,2016-09-27,67.3,16.5,7.9,11.5,1.38,15.9,-9999
M0001,2016-09-28,0.8,17.3,7.9,10.8,10.5,8.69,-9999
M0001,2016-09-29,0,17.6,8.6,12.1,9.66,7.29,-9999
M0001,2016-09-30,0,17.4,7.7,12,4.58,10.77,-9999
M0001,2016-10-01,0,17.1,8.4,11.9,10.3,14.53,-9999
M0001,2016-10-02,0,17.6,7.8,12,5.41,9.05,-9999
M0001,2016-10-03,0,17,6.8,11.4,3.03,9.8,-9999
M0001,2016-10-04,0,16.6,6.7,12.1,7.24,14.92,-9999
M0001,2016-10-05,0,16,6.7,11.5,5.92,3.31,-9999
M0001,2016-10-06,0,15.6,7.5,11.1,5.33,4.01,-9999
M0001,2016-10-07,0,15.4,7.2,10.5,9.58,2.76,-9999
M0001,2016-10-08,0,15.6,8.6,11.2,4.54,6.61,-9999
M0001,2016-10-09,0,16.7,8.8,11,5.01,9.57,-9999
M0001,2016-10-10,0,15.1,7.9,10.6,4.89,10.25,-9999
M0001,2016-10-11,0,17.4,5.9,11.7,10.5,3.78,-9999
M0001,2016-10-12,0,18.7,6.2,11.8,3.35,13.04,-9999
M0001,2016-10-13,0,15.4,5.9,10.9,1.95,6.62,-9999
M0001,2016-10-14,0,18.2,6.9,11.9,5.72,8.3,-9999
M0001,2016-10-15,25.4,18.7,6.4,11.7,1.02,10.16,-9999
M0001,2016-10-16,0,16.9,5.8,10.3,3.35,1.93,-9999
M0001,2016-10-17,0,18.2,6.4,12.3,3.43,4.69,-9999
M0001,2016-10-18,0,15.8,7.1,11.5,2.97,7.15,-9999
M0001,2016-10-19,0,16.9,7,11.7,9.27,2.4,-9999
M0001,2016-10-20,0,16.2,8.2,11.6,7.44,11.16,-9999
M0001,2016-10-21,0,17.7,6.1,11.6,10.09,4.52,-9999
M0001,2016-10-22,0,17.8,9,11.2,4.3,4.06,-9999
M0001,2016-10-23,0,17.3,8.5,11.3,9.45,1.83,-9999
M0001,2016-10-24,0,17.1,8.9,12,9.59,4.79,-9999
M0001,2016-10-25,0,15.9,7.4,10.4,2.9,5.09,-9999
M0001,2016-10-26,0,13.8,8.7,9.9,10.05,13.95,-9999
M0001,2016-10-27,9.2,16.1,8.7,11.9,6.31,14.18,-9999
M0001,2016-10-28,0,15.8,8,11.4,10.2,12.5,-9999
M0001,2016-10-29,0,12.1,8.8,9.7,1.1,15.63,-9999
M0001,2016-10-30,0,16.9,8,11.5,9.16,9.72,-9999
M0001,2016-10-31,0,18,6.2,12.4,1.65,5.68,-9999
M0001,2016-11-01,0,17.3,7.1,11.6,4.36,9.28,-9999
M0001,2016-11-02,0,15.7,7.4,11.3,4.75,14.15,-9999
M0001,2016-11-03,0,17.2,7.4,12,7.97,8.73,-9999
M0001,2016-11-04,0,16,6,11.8,1.02,2.18,-9999
M0001,2016-11-05,0,17.4,4.3,12,8.67,10.12,-9999
M0001,2016-11-06,0,19.7,4,11.9,9.82,1.4,-9999
M0001,2016-11-07,0,19.1,6.5,12.7,2.94,2.5,-9999
M0001,2016-11-08,0,18.2,7.3,11.6,4.22,5.6,-9999
M0001,2016-11-09,0,16.2,7.9,10.7,7.6,12.33,-9999
M0001,2016-11-10,0,19.4,8.4,12.2,6.05,8.99,-9999
M0001,2016-11-11,0,16.8,7.9,11.7,9.23,16.53,-9999
M0001,2016-11-12,0,18.4,8.7,12.7,2.62,1.97,-9999
M0001,2016-11-13,10,15.5,8.9,11.4,8.07,1.73,-9999
M0001,2016-11-14,20.8,17.1,8.5,11.6,7.86,10.15,-9999
M0001,2016-11-15,33.6,17,6.8,11.7,9.85,9.6,-9999
M0001,2016-11-16,0,15.9,8.1,10.9,5.04,6.63,-9999
M0001,2016-11-17,0,15.1,8.7,10.2,1.03,12.02,-9999
M0001,2016-11-18,0,15,8.1,11.1,2.04,15.97,-9999
M0001,2016-11-19,8.3,16.7,8.7,11.6,6.35,9.71,-9999
M0001,2016-11-20,0,15.3,8,11,5.53,2.97,-9999
M0001,2016-11-21,0.2,16,8,11.3,2.55,11.3,-9999
M0001,2016-11-22,0,14.8,7.8,10.5,1.48,9.28,-9999
M0001,2016-11-23,0,17.6,6.2,12.1,7.19,15.08,-9999
M0001,2016-11-24,0,18.1,7.3,12.1,1.85,1.67,-9999
M0001,2016-11-25,9.3,14.6,7.9,10.4,7.23,3.21,-9999
M0001,2016-11-26,1.9,17.6,6.8,11.5,5.43,8.34,-9999
M0001,2016-11-27,0,17.1,7.6,11.4,2.61,14.23,-9999
M0001,2016-11-28,0,16.2,7.8,10.8,3.02,15.52,-9999
M0001,2016-11-29,25.8,12.8,7.7,9.7,10.16,12.3,-9999
M0001,2016-11-30,0,17.4,8,12.1,10.17,10.22,-9999
M0001,2016-12-01,0,17.7,7.8,12,6.31,11.44,-9999
M0001,2016-12-02,0,16.8,9,12.1,4.81,7.65,-9999
M0001,2016-12-03,0.7,15.6,8.2,10.9,8.57,4.2,-9999
M0001,2016-12-04,1.2,14.8,7.9,10.3,6.4,10.64,-9999
M0001,2016-12-05,0,14.6,7.4,10.1,10.28,5.98,-9999
M0001,2016-12-06,0,17,5.1,10.9,8.3,4.44,-9999
M0001,2016-12-07,2,17.2,7.2,11.1,5.52,3.37,-9999
M0001,2016-12-08,0,13.9,7.9,10.3,5.24,10.04,-9999
M0001,2016-12-09,0.3,16.2,7.6,11.7,6.45,16.19,-9999
M0001,2016-12-10,0.5,17.4,6.7,11.8,2.83,4.82,-9999
M0001,2016-12-11,0,17.4,8.9,12.1,2.06,16.32,-9999
M0001,2016-12-12,1.8,18.3,8.5,12.1,1.67,10.61,-9999
M0001,2016-12-13,13,15.4,8.5,10.3,9.67,15.59,-9999
M0001,2016-12-14,13,15.4,8.5,10.3,7.45,16.19,-9999
M0001,2016-12-15,0.8,17.4,8.4,12.6,3,4.75,-9999
M0001,2016-12-16,0,13.8,8.1,10.6,7.21,11.62,-9999
M0001,2016-12-17,0.1,17.4,7.7,11.5,5.9,9.67,-9999
M0001,2016-12-18,0,18.2,7.5,12.1,6.23,5.73,-9999
M0001,2016-12-19,5.2,14.4,8.4,10.7,9.69,4.17,-9999
M0001,2016-12-20,4.8,13,7.9,10.1,4.23,13.64,-9999
M0001,2016-12-21,0,15.7,8.3,11.4,5.02,13.24,-9999
M0001,2016-12-22,0,16.5,7.2,11.4,2.33,12.84,-9999
M0001,2016-12-23,0,14.3,8,10.3,5.85,8.52,-9999
M0001,2016-12-24,1.4,13.8,7.8,10.4,1.75,9.86,-9999
M0001,2016-12-25,2.7,15.3,7.8,10.1,10.26,9.98,-9999
M0001,2016-12-26,0.8,15,8.4,11,3.49,1.16,-9999
M0001,2016-12-27,0.6,17.2,7.8,11.6,10.03,1.43,-9999
M0001,2016-12-28,0,15,8.7,10.5,10.23,7.52,-9999
M0001,2016-12-29,0,15.5,7.8,10.4,3.31,9.55,-9999
M0001,2016-12-30,0.2,15.1,7,10.8,8.74,1.47,-9999
M0001,2016-12-31,9.3,13.4,8.6,10.5,8.42,7.98,-9999
M0001,2017-01-01,0,15.6,7.4,11,5.24,8.41,-9999
M0001,2017-01-02,0,15.3,7.5,10.9,3.84,8.82,-9999
M0001,2017-01-03,0.9,12.5,7.3,9.7,3.16,10.2,-9999
M0001,2017-01-04,0.7,10.6,7.7,8.4,5.31,10.68,-9999
M0001,2017-01-05,0,18.2,4.2,12.4,10.42,3.29,-9999
M0001,2017-01-06,3,18,3.8,12.2,4.1,6.54,-9999
M0001,2017-01-07,0.2,16.8,3.8,11,6.99,7.36,-9999
M0001,2017-01-08,5,15.5,6.6,11.2,3.75,3.23,-9999
M0001,2017-01-09,23.7,13.4,6.5,10.3,6.22,1.46,-9999
M0001,2017-01-10,2,15.1,7.8,10.2,6.26,11.87,-9999
M0001,2017-01-11,0.9,14.6,8,10.6,1.85,14.53,-9999
M0001,2017-01-12,0,15.3,7.6,10.8,2.95,2.26,-9999
M0001,2017-01-13,0,16.2,8.5,10.8,7.13,3.32,-9999
M0001,2017-01-14,1.5,15.3,8.1,10.8,3.09,0.85,-9999
M0001,2017-01-15,6.8,16,8.3,11.8,6.73,7.16,-9999
M0001,2017-01-16,0,14.3,6.8,10.1,6.22,14,-9999
M0001,2017-01-17,0,15.6,7.2,11.2,8.71,15.7,-9999
M0001,2017-01-18,0,15,6.7,11,9.1,4.95,-9999
M0001,2017-01-19,0,14.8,7.9,11.2,5.67,13.48,-9999
M0001,2017-01-20,0,16.1,7.5,11.8,2.2,10.91,-9999
M0001,2017-01-21,0,16,8.7,11.5,1.13,16.08,-9999
