estacion,fecha,rr,tmx,tmn,tmd,hf,vv,RS
M0001,2015-03-27,17.6,12.9,7.9,9.8,1.31,12.9,-9999
M0001,2015-03-28,0.1,14.2,7.7,10.1,10.25,7.59,-9999
M0001,2015-03-29,0,14.8,6.7,9.9,2.53,9.94,-9999
M0001,2015-03-30,0.4,15.4,7.8,10.2,8.95,6.21,-9999
M0001,2015-03-31,0,15.4,6.2,11.2,8.75,14.73,-9999
M0001,2015-04-01,0,14.4,7.4,10.4,8.35,7.73,-9999
M0001,2015-04-02,0,15,6.8,10.6,4.23,0.85,-9999
M0001,2015-04-03,0,16.4,7.9,11.5,10.95,3.1,-9999
M0001,2015-04-04,22.5,14.9,7.6,10.4,2.98,15.46,-9999
M0001,2015-04-05,3.5,15.2,7,11.4,5.02,4.55,-9999
M0001,2015-04-06,0.2,17,7.2,11.2,1.33,5.53,-9999
M0001,2015-04-07,2.3,17.3,6.4,12.4,9.65,15.98,-9999
M0001,2015-04-08,0,14.5,7.2,10.8,8.65,12.51,-9999
M0001,2015-04-09,0.8,16.4,7,11.4,7.17,12.84,-9999
M0001,2015-04-10,8.3,16.9,8,11.6,8.49,15.11,-9999
M0001,2015-04-11,13.4,15.4,7.9,10.2,9.82,9.34,-9999
M0001,2015-04-12,25.6,17.1,6,11.8,1.6,7.27,-9999
M0001,2015-04-13,7.7,15.2,7.6,9.8,8.54,3.8,-9999
M0001,2015-04-14,0.4,16.4,8,10.9,7.15,14.95,-9999
M0001,2015-04-15,13.1,15.9,6.8,11.7,4.41,7.93,-9999
M0001,2015-04-16,2.9,14.9,7.5,10,9.48,1.51,-9999
M0001,2015-04-17,1.8,15.8,7.6,10.8,10.53,12.62,-9999
M0001,2015-04-18,0.5,13.8,7.9,10.3,7.5,10.57,-9999
M0001,2015-04-19,1.2,16.2,7.5,11.4,6.92,15.35,-9999
M0001,2015-04-20,2.6,15,7.6,10.9,7,3.74,-9999
M0001,2015-04-21,0,14.7,8.1,10.4,7.74,12.95,-9999
M0001,2015-04-22,1.4,13.9,7,9.5,8.67,14.53,-9999
M0001,2015-04-23,7,14,7.8,10.6,10.22,1.09,-9999
M0001,2015-04-24,3.9,15.7,7.9,11.2,8.34,1.47,-9999
